Medicine Name,Uses,Side_effects
Ebast-DC Tablet,Treatment of Sneezing and runny nose due to allergies,Headache Dryness in mouth Nausea Vomiting Tiredness Sleepiness
Eco Tears Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Etova-ER 600 Tablet, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Epidosin Injection, Pain due to smooth muscle spasm,Blurred vision Increased heart rate Dryness in mouth Difficulty in swallowing Urinary retention Dilatation of pupil Constipation
Efil 2.5mg Tablet,Treatment of Erectile dysfunction,Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Muscle pain Upset stomach Nasal congestion stuffy nose
Enuff Capsule,Treatment of Diarrhea,Vomiting Dizziness General discomfort Headache
Ezedoc 10 Tablet, High cholesterol,Diarrhea Joint pain Sinus inflammation Upper respiratory tract infection Pain in extremity
Emty Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Esogress-D Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Enzomac Forte Tablet, Pain relief,No common side effects seen
Ebast 20 Tablet, Allergic conditions,Sleepiness Headache Dryness in mouth
Etoshine 60 Tablet, Pain relief,Stomach pain Diarrhea
Embeta XR 25 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
Etos MR Tablet,Treatment of Pain due to muscle spasm,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
Etova 400 Tablet, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Esomac D 40 Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Esofag-D Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Esogress 40 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Eyemist Forte Eye Drop, Dry eyes,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Ebernet Cream,Treatment of Fungal skin infections,Application site reactions burning irritation itching and redness
Esomac 40 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,Headache Dryness in mouth Nausea Abdominal pain Constipation Flatulence Diarrhea
Envas 5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Embeta XR 50 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,Fatigue Headache Slow heart rate Dizziness Nausea Breathlessness Rash Diarrhea Depression
Espogen 4000IU Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
Eprisan D SR Capsule, Pain due to muscle spasm,Nausea Vomiting Heartburn Stomach pain epigastric pain Diarrhea Loss of appetite Dizziness Weakness Sleepiness
Ezact MR Tablet,Treatment of Pain due to muscle spasm,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
Estrabet 2 Tablet, Hormone replacement therapy,Headache Nausea Breast pain Abdominal cramp Bloating Vaginal spotting Vomiting
Eldicet Tablet, Irritable bowel syndrome,Abdominal pain Difficulty in swallowing
Encorate Chrono 300 Tablet CR, Epilepsy,Nausea Vomiting Weight gain Loss of appetite Gum swelling Headache Sleepiness Tremors Hair loss Liver injury
Entavir 0.5mg Tablet, Chronic hepatitis B virus (HBV) infection,Headache Nausea Vomiting Fatigue Stomach pain Diarrhea
Enzoheal Tablet, Pain relief,No common side effects seen
Ecosprin AV 150/20 Capsule,Treatment of Prevention of heart attack and stroke,Abdominal pain Constipation Flatulence Increased liver enzymes Hepatitis viral infection of liver Reye s syndrome like symptoms
Eritel LN 40 Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Encorate Chrono 500 Tablet CR, Epilepsy,Nausea Vomiting Weight gain Loss of appetite Gum swelling Headache Sleepiness Tremors Hair loss Liver injury
Escot Cream,Treatment of Anal fissure,Anal irritation
Everfresh Tears 0.5% Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Eva Q Syrup, Constipation,Cramps Abdominal distension Flatulence
Evict Oral Solution,Treatment of ConstipationTreatment of Hepatic encephalopathy,Abdominal pain Nausea Vomiting Diarrhea
Ebast Tablet, Allergic conditions,Sleepiness Headache Dryness in mouth
Epsolin 100 Tablet,Treatment and prevention of Epilepsy/Seizures,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
Emlukast-FX Tablet,Treatment of Sneezing and runny nose due to allergies,Nausea Diarrhea Vomiting Skin rash Flu like symptoms Headache Drowsiness Dizziness
Epilive 500 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Enzoflam-CT Tablet, Pain reliefTreatment of Swelling,Limited data available
Eflora Cream, Facial hirsutism (Excessive hair growth on face),Acne Itching Hair loss Stinging sensation Dry skin Rash Paresthesia tingling or pricking sensation Irritation Hair follicle inflammation
Esoz D 40 Capsule SR,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Eukroma Cream, Melasma,Erythema skin redness Dryness and fissuring of paranasal and infraorbital areas Stinging sensation
Eyelet Eye Drop 10ml for Eye Infections,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Etova-ER 400 Tablet ER, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Eslo 2.5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
Ecosprin-AV 150 Capsule,Treatment of Prevention of heart attack and stroke,Abdominal pain Constipation Flatulence Increased liver enzymes Hepatitis viral infection of liver Reye s syndrome like symptoms
Eyemist Gel, Dry eyes,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Envas 2.5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Prevention of heart attack and strokeTreatment of Heart failure,Decreased blood pressure Cough Increased potassium level in blood Fatigue Weakness Dizziness
Erytop Cream,Treatment of Bacterial infections,Application site reactions burning irritation itching and redness Skin rash Stomach pain Nausea Vomiting Diarrhea
Etrik MR Tablet,Treatment of Pain due to muscle spasm,Diarrhea Stomach pain Indigestion Flatulence Swelling of hands Feet swelling Flu like symptoms
Endogest 200 SR Tablet, Hormone replacement therapyTreatment of Female infertility,Abdominal pain Nausea Abnormal vaginal bleeding Edema swelling Hair loss Abdominal bloating Headache Breast pain Vomiting Vaginal yeast infection
Ebility Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Eptoin Injection,Treatment and prevention of Epilepsy/Seizures,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
Etosys Tablet, Heavy menstrual bleeding,Nausea Stomach pain Diarrhea Headache Nasal congestion stuffy nose Sinus pain Sinus inflammation Rash Tiredness Musculoskeletal bone muscle or joint pain Anemia low number of red blood cells
Eritel 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Ezact 90 Tablet, Pain relief,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Endoreg Tablet,Treatment of pelvic pain associated with Endometriosis,Headache Acne Breast pain Abnormal menstrual bleeding Weight gain Sleep disorder Nervousness Loss of libido Migraine Gastrointestinal disturbance Hair loss Back pain Breast engorgement Ovarian cysts Hot flushes Vaginal bleeding Asthenic conditions Irritability
Enzar-HS Capsule,Treatment of Pancreatic enzyme deficiency,Stomach pain Bloating Diarrhea
Enzictra - DS Tablet, Swelling,No common side effects seen
Elocon Cream,Treatment of Skin conditions with inflammation & itching,Stinging sensation Itching Hair follicle inflammation
Eposis 4000IU Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
Enzoheal Ointment,Treatment of Bacterial skin infections,Burning sensation at the site of application
Esgipyrin SP Tablet, Pain relief,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Etos 90 Tablet, Pain relief,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Eritel-CH 40 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Esofine-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Elores 1.5gm Injection,Treatment of Bacterial infections,Injection site reactions pain swelling redness Nausea Vomiting Diarrhea
Etogesic ER Tablet, Pain relief,Visual disturbance Vomiting Stomach pain epigastric pain Nausea Indigestion Dizziness Drowsiness Visual disorder
Etozox 90 Tablet, Pain relief,Oral ulcer Bronchospasm Increased liver enzymes Esophagitis Stomach pain Diarrhea
Enuff 10mg Sachet,Treatment of Diarrhea,Skin rash Vomiting Dizziness General discomfort Headache
Esomefol-DSR Capsule,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Functional dyspepsia,Diarrhea Flatulence Stomach pain Dryness in mouth Headache
Elata Tablet, Uterine fibroids,Absence of menstrual periods Headache Endometrial hyperplasia
Enderm gm Cream,Treatment of Skin infections,Burning sensation Itching Skin pain
Extralube Eye Drop,Treatment of Dry eyes,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Etogesic MR Tablet, Pain due to muscle spasm,Nausea Vomiting Heartburn Stomach pain epigastric pain Loss of appetite Indigestion Sleepiness
Eptoin 300 ER Tablet,Treatment and prevention of Epilepsy/Seizures,Rash Headache Dizziness Vomiting Nausea Slurred speech Vertigo Confusion Nervousness Constipation Tremors Altered walking
Endace 40 Tablet, Breast cancer Endometrial cancer,Increased appetite Weight gain Hot flashes High blood pressure Constipation Increased glucose level in blood
Eslo 5 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Ankle swelling Dizziness Fatigue Flushing sense of warmth in the face ears neck and trunk Headache Palpitations Abdominal pain Muscle cramp Nausea Sleepiness Visual disturbance Dyspepsia Breathlessness Change in bowel habits
